,NCAV,Name,P/E,Ticker,currentPrice,earnings,floatShares,marketCap,revenue,sector,totalCurrentAssets,totalDebt
5000,,Currencyshares Euro Trust,,FXE,,,,,,,,
5001,,FX Energy Inc,,FXEN,,,,,,,,
5002,,Secure Technologies Group Inc,,FXGP,,,,,,,,
5003,33.587502198617855,First National Corp,12.325290858190945,FXNC,20.5,10359000,5014514.0,127677688.0,45677000,Financial Services,182698000.0,14273000.0
5004,,Fox Petroleum Inc,,FXPT,,,,,,,,
5005,,Circle Entertainment Inc,,FXRE,,,,,,,,
5006,,Family Home Health Services Inc,,FYHH,,,,,,,,
5007,,Sapphire Industrials Corp,,FYR,,,,,,,,
5008,,Cuisine Solutions Inc,,FZN,,,,,,,,
5009,-0.4600499752599611,Gillette Co,22.880884866070463,G,44.95,369448000,170442335.0,8453297152.0,4022211000,Technology,1921641000.0,2000052992.0
5010,-0.4600499752599611,Genpact LTD,22.880884866070463,G,44.95,369448000,170442335.0,8453297152.0,4022211000,Technology,1921641000.0,2000052992.0
5011,,Gabelli Equity Trust Inc,4.986031764833158,GAB,6.83,360965787,,1799786880.0,34594690,Financial Services,5964654.0,67850320.0
5012,,Georgia Bancshares Inc,,GABA,,,,,,,,
5013,,German American Bancorp Inc,,GABC,37.9,84137000,27646366.0,,226217000,Financial Services,432968000.0,156124000.0
5014,,Geneva Acquisition Corp,,GAC,,,,,,,,
5015,,General Acceptance Corp,,GACC,,,,,,,,
5016,,Global Aircraft Solutions Inc,,GACF,,,,,,,,
5017,,Gadzooks Inc,,GADZ,,,,,,,,
5018,,Ga Financial Inc,,GAF,,,,,,,,
5019,,Greater Atlantic Financial Corp,,GAFC,,,,,,,,
5020,,Global Agri Med Technologies Inc,,GAGT,,,,,,,,
5021,0.06903555384127098,Gaiam Inc,27.409005628517825,GAIA,5.0,3731000,11298526.0,102263000.0,79573000,Communication Services,14983000.0,14203000.0
5022,,Investment Corporation Gladstone,11.88071644603571,GAIN,15.19,42454000,,504383936.0,56627000,Financial Services,7531000.0,261035008.0
5023,,PC Group Inc,,GAIT,,,,,,,,
5024,,Galena Biopharma Inc,,GALE,,,,,,,,
5025,0.26696476891140425,Galectin Therapeutics Inc,-2.5659422806040553,GALT,1.32,-30527000,43578784.0,78330520.0,0,Healthcare,41820000.0,30186000.0
5026,0.05462311155749717,General American Investors Co Inc,3.144518713145718,GAM,38.18,293610897,23160819.0,923264960.0,15354670,Financial Services,5294412.0,4029296.0
5027,,Great American Group Inc,,GAMR,,,,,,,,
5028,,Global Entertainment Holdings,,GAMT,,,,,,,,
5029,,Great Atlantic & Pacific Tea Co Inc,,GAP,,,,,,,,
5030,,Recyclenet Corp,,GARM,,,,,,,,
5031,,Garrison Capital Inc,,GARS,,,,,,,,
5032,,Nicor Inc,,GAS,,,,,,,,
5033,,Agl Resources Inc,,GAS,,,,,,,,
5034,,Jointland Development Inc,,GAST,,,,,,,,
5035,,Grubb & Ellis Realty Advisors Inc,,GAV,,,,,,,,
5036,,Global Axcess Corp,,GAXC,,,,,,,,
5037,,Galaxy Energy Corp,,GAXI,,,,,,,,
5038,0.07063809203394716,Galaxy Minerals Inc,-40.241525040827796,GAXY,0.292,-24434336,16600505.0,983274944.0,3773605,Technology,4679299.0,3506671.0
5039,,Greatbatch Inc,,GB,4.98,,31005088.0,893656000.0,,Technology,,723048000.0
5040,,Guggenheim Build America Bonds Managed Duration Trust,,GBAB,19.64,,,407152896.0,,Financial Services,,
5041,,Greater Bay Bancorp,,GBBK,,,,,,,,
5042,,GBC Bancorp,,GBCB,,,,,,,,
5043,-5.888324748984929,Glacier Bancorp Inc,18.953346130209265,GBCI,48.76,284757000,110265989.0,5397097984.0,778887000,Financial Services,579116000.0,1228397952.0
5044,,Global Healthcare REIT Inc,,GBCS,5.0,,2251106.0,14501750.0,,Healthcare,,39830656.0
5045,,Golub Capital BDC Inc,7.135341718584695,GBDC,14.28,340280000,,2428014080.0,307125000,Financial Services,269751000.0,2830427904.0
5046,,Grubb & Ellis Co,,GBEL,,,,,,,,
5047,,Global Resource Energy Inc,,GBEN,,,,,,,,
5048,,Southeastern Bank Financial Corp,,GBFP,,,,,,,,
5049,,Global Gold Corp,,GBGD,1.0,,121925.0,794017.0,,Basic Materials,,9826718.0
5050,,GB Holdings Inc,,GBHD,,,,,,,,
5051,,Lightscape Technologies Inc,,GBIS,,,,,,,,
5052,,Abviva Inc,,GBIW,,,,,,,,
5053,23.504392023322115,Gamco Investors Inc,7.699852511646334,GBL,20.87,73199000,5228342.0,563621504.0,301126000,Financial Services,180678000.0,57789000.0
5054,23.504392023322115,Gamco Investors Inc,7.699852511646334,GBL,20.87,73199000,5228342.0,563621504.0,301126000,Financial Services,180678000.0,57789000.0
5055,,Global 8 Environmental Technologies Inc,,GBLE,,,,,,,,
